id,Requirement,Name of Doc,Req/Not Req
0,The solution should provide detailed context-sensitive help material for all the possible actions and scenarios on all user interfaces in the application.,cctns.pdf,Req
1,The help should be accessible to the users both in the offline and online mode.,cctns.pdf,Req
2,The solution should provide an interface for the user to log any defects or enhancement requests on the application and track thereafter.,cctns.pdf,Req
3,"The solution should send alerts (e.g., email, SMS) to the user if the user chooses to whenever any action has been taken on the alert",cctns.pdf,Req
4,The solution should enable the user to track the submitted defect or enhancement request.,cctns.pdf,Req
5,"The solution should enable the help-desk user to view the reports on the submitted defects or enhancement requests category-wise, status-wise, and age- wise.",cctns.pdf,Req
6,The support solution should be accessible to the users both from within the application and also outside the application through a browser interface.,cctns.pdf,Req
7,"Once the audit trail functionality has been activated, the System must track events without manual intervention, and store in the audit trail information about them.",cctns.pdf,Req
8,"The System must maintain the audit trail for as long as required, which will be at least for the life of the case to which it refers.",cctns.pdf,Req
9,"The System must ensure that audit trail data is available for inspection on request, so that a specific event can be identified and all related data made accessible, and that this can be achieved by authorised external personnel who have little or no familiarity with the system.",cctns.pdf,Req
10,The System must be able to export audit trails for specified cases (without affecting the audit trail stored by the System).,cctns.pdf,Req
11,These options are presented in order of increasing security. Note that the requirement in the third option (i.e. the most stringent) implies that the System must not include such cases in any count of search results; this level of security is normally appropriate for cases dealing with matters such as national security.,cctns.pdf,Req
12,"The System must be able to capture and store violations (i.e. A user’s attempts to access a case to which he is denied access), and (where violations can validly be attempted) attempted violations, of access control mechanisms.",cctns.pdf,Req
13,The System should be able to provide reports for actions on cases organised by workstation and (where technically appropriate) by network address.,cctns.pdf,Req
14,The System must allow the user to limit access to cases to specified users or user groups.,cctns.pdf,Req
15,The system should provide for role-based control for the functionality within the system.,cctns.pdf,Req
16,The System must allow a user to be a member of more than one group.,cctns.pdf,Req
17,The System must allow only admin-users to set up user profiles and allocate users to groups.,cctns.pdf,Req
18,The System should allow a user to stipulate which other users or groups can access cases.,cctns.pdf,Req
19,"The System must allow changes to security attributes for groups or users (such as access rights, security level, privileges, password allocation and management) to be made only by super-user.",cctns.pdf,Req
